user,password,localidad,edad,musica,comida,peliculas,videojuegos,politica,deportes,mascotas,libros,tecnologia,memes
Meredith Stransky,password123,Cuzco,35,1,0,0,0,1,0,0,0,1,1
Brittney Mazzella,password123,Ucayali,23,0,0,1,1,0,1,1,1,1,1
Yi Cook,password123,Tumbes,20,0,1,1,0,1,0,0,0,1,1
Porter Devries,password123,Ayacucho,27,0,1,1,0,1,0,0,0,1,1
Suzanne Syverson,password123,Piura,23,1,0,0,0,0,1,0,0,0,0
Ladawn Creason,password123,Ayacucho,20,0,0,1,0,0,0,1,0,1,0
Mikel Lamberson,password123,Arequipa,31,1,1,0,0,1,1,0,0,0,0
Lakendra Lasiter,password123,Amazonas,26,0,0,0,1,0,1,1,1,0,0
Kate Shiver,password123,Piura,28,0,1,1,1,0,1,1,1,0,0
Sharika Aiken,password123,Apurímac,29,1,1,1,1,0,1,0,1,1,1
Katina Gillespi,password123,La Libertad,37,0,0,1,1,1,0,1,0,1,1
Carmela Smyers,password123,Tacna,38,0,1,0,0,1,0,0,1,1,0
Caron Delapena,password123,Moquegua,37,0,0,1,0,0,1,1,0,0,0
Missy Harlin,password123,Cuzco,36,1,0,0,1,0,0,1,0,0,0
Danuta Caylor,password123,Loreto,40,0,1,1,1,1,0,0,0,0,1
Tu Viloria,password123,Piura,32,0,1,0,0,0,1,1,0,1,1
Season Follmer,password123,Amazonas,31,1,1,1,0,0,0,1,1,1,0
Dusty Passarelli,password123,Apurímac,34,1,1,0,0,1,1,1,0,1,0
Hobert Sagers,password123,Tacna,25,1,0,0,1,1,1,0,1,0,1
Huong Polhemus,password123,Cajamarca,32,1,1,0,0,0,0,0,1,0,1
Terrance Langone,password123,Huánuco,34,1,0,1,0,0,0,1,1,0,0
Floyd Robinett,password123,Lima,35,0,1,1,1,0,1,1,1,0,0
Oren Mccaffrey,password123,Puno,27,1,0,0,1,0,1,0,1,1,0
Wilhelmina Monsour,password123,Loreto,19,1,0,0,0,0,0,1,0,1,0
Issac Montas,password123,Ica,31,1,1,0,1,1,0,0,1,0,0
Celeste Hollenbach,password123,Ayacucho,32,0,1,0,0,0,0,0,0,1,1
Mee Galli,password123,La Libertad,32,1,1,0,0,1,0,1,1,1,1
Daphine Lynn,password123,Callao,38,0,0,0,1,0,1,0,0,0,1
Bobbie Straka,password123,La Libertad,33,1,0,0,0,0,0,1,1,0,1
Pearle Dimeo,password123,Puno,37,1,0,1,1,1,1,1,0,0,1
Trisha Allis,password123,Loreto,25,1,1,0,0,0,1,0,0,0,1
Alton Towell,password123,Cuzco,26,1,1,1,0,0,0,0,0,0,0
Del Garlington,password123,Ayacucho,26,0,1,0,0,0,0,1,1,1,0
Adela Babst,password123,Madre de Dios,39,1,0,1,0,1,1,1,1,0,0
Reginia Rockwell,password123,Amazonas,30,1,0,1,1,1,1,1,0,1,0
Venice Liller,password123,Junín,29,1,1,0,0,1,0,0,1,0,1
Elsie Mealing,password123,Apurímac,23,1,0,1,0,1,1,0,1,1,1
Alisia Allison,password123,Pasco,18,0,1,1,1,0,1,1,1,1,1
Charity Schrecengost,password123,Tacna,37,1,0,1,0,0,1,0,1,0,0
Minh Adelson,password123,Apurímac,38,1,0,1,0,1,0,0,1,1,0
Crystal Batson,password123,Junín,32,1,1,1,1,0,1,0,0,0,0
Trinh Gines,password123,Ayacucho,24,0,1,0,0,1,1,1,0,1,0
Janita Thelen,password123,Cajamarca,24,1,0,0,0,1,1,0,0,1,0
Tasia Jeter,password123,Tumbes,37,1,1,0,0,1,0,1,0,0,0
Beth Walraven,password123,Piura,22,0,1,1,1,0,1,1,0,0,1
Fe Raymond,password123,Madre de Dios,21,0,0,1,1,1,0,0,0,0,1
Alesia Fain,password123,Tacna,22,0,1,1,1,1,1,0,0,0,0
Shavonne Bunch,password123,Huánuco,34,1,1,0,0,1,0,0,0,1,1
Bruce Wix,password123,Ucayali,19,0,0,0,1,0,1,0,0,1,1
Saif Ali,password123,Piura,20,1,0,1,0,0,1,0,0,1,1
Ghulam Rasool,password123,Piura,32,1,0,0,1,0,1,1,1,0,1
Amir,password123,Cajamarca,18,1,0,1,1,1,0,1,0,0,1
Lucie,password123,Piura,22,1,0,1,0,0,1,1,1,0,0
Katherine,password123,Tumbes,24,1,1,1,1,1,1,1,0,1,0
Aneeqa Tanveer,password123,Madre de Dios,26,0,1,0,0,0,0,0,1,1,1
Ezad Khan,password123,Loreto,23,1,0,0,0,1,0,0,1,1,1
Syed Tafseer Abbass,password123,Áncash,33,1,0,0,0,0,0,0,0,1,1
Layton,password123,Cajamarca,25,0,1,0,1,0,1,1,0,1,0
Robyn,password123,Piura,25,1,1,0,0,1,1,1,1,1,0
Fahad,password123,Puno,23,0,1,1,0,1,0,0,0,0,1
Mohamed Saifuddin,password123,Huánuco,36,1,0,0,0,0,1,0,0,0,1
Neur,password123,Huancavelica,29,0,0,1,1,1,0,1,0,1,0
Heri Sigu Samboja,password123,Madre de Dios,19,1,1,1,0,1,1,0,1,0,1
Jamie,password123,Cajamarca,37,0,1,1,0,0,0,0,0,1,0
Alexa,password123,Lima,26,0,0,0,0,0,1,0,0,1,1
Alistar,password123,Amazonas,18,1,0,0,0,0,0,0,1,1,1
